Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (deg),Power_Deviation_kW,Capacity_Factor
2018-01-04 12:40:00,0.0,2.88811206817626,0.0,0.0,0.0,0.0
2018-01-04 15:40:00,0.0,4.43689489364624,208.760610827014,0.0,-208.7606,0.0
2018-01-04 19:00:00,1190.81604003906,7.06866693496704,1047.20196551832,33.4983406066894,143.6141,0.330782
2018-01-04 19:10:00,963.732482910156,6.64155101776123,862.482569014037,33.8251914978027,101.2499,0.267703
2018-01-04 19:20:00,980.97607421875,6.69016408920288,882.408422848549,27.367389678955,98.5677,0.272493
2018-01-04 19:30:00,777.847900390625,6.3633370399475,753.562342292042,29.6754493713378,24.2856,0.216069
2018-01-04 20:10:00,1139.24096679687,6.95341396331787,995.154563524479,35.4407501220703,144.0864,0.316456
2018-01-04 21:10:00,470.801208496093,5.49340915679931,467.105923365275,33.0264701843261,3.6953,0.130778
2018-01-04 21:20:00,387.340209960937,5.12414121627807,367.092811212528,30.5097103118896,20.2474,0.107595
2018-01-04 21:30:00,402.474792480468,5.28506612777709,409.242485040369,27.6515197753906,-6.7677,0.111799
2018-01-04 21:40:00,460.291198730468,5.539794921875,480.520802901449,28.0042705535888,-20.2296,0.127859
2018-01-04 21:50:00,619.872375488281,6.01567316055297,629.291115268034,25.7741394042968,-9.4187,0.172187
2018-01-04 22:00:00,470.200103759765,5.59703207015991,497.350886354553,23.5009498596191,-27.1508,0.130611
2018-01-04 22:10:00,691.014099121093,6.27731418609619,721.605069621554,23.7262496948242,-30.591,0.191948
2018-01-04 22:20:00,826.995178222656,6.49335289001464,803.39325578714,20.4269008636474,23.6019,0.229721
2018-01-04 22:30:00,892.424377441406,6.78659105300903,922.744893395283,25.2184200286865,-30.3205,0.247896
2018-01-04 22:40:00,907.188415527343,6.7644019126892,913.366218909139,30.2369308471679,-6.1778,0.251997
2018-01-04 22:50:00,545.265319824218,5.72493696212768,536.095229037331,29.6721992492675,9.1701,0.151463
2018-01-04 23:00:00,688.835815429687,6.23816680908203,707.326292982995,30.0023193359375,-18.4905,0.191343
2018-01-04 23:10:00,591.908874511718,5.94540119171142,606.724576366331,29.6430892944335,-14.8157,0.164419
2018-01-04 23:20:00,660.694274902343,6.17223978042602,683.651640952665,30.3978595733642,-22.9574,0.183526
2018-01-04 23:30:00,747.407470703125,6.35161781311035,749.161520527516,30.2831096649169,-1.754,0.207613
2018-01-04 23:40:00,1174.24304199218,7.16898393630981,1093.90949258296,18.9728107452392,80.3335,0.326179
2018-01-04 23:50:00,873.481018066406,6.62922191619873,857.472104093693,17.2263393402099,16.0089,0.242634
2018-01-05 00:00:00,845.205017089843,6.55459403991699,827.511984963827,12.580470085144,17.693,0.234779
2018-01-05 00:10:00,837.063720703125,6.39504098892211,765.542755568387,9.42906093597412,71.521,0.232518
2018-01-05 00:20:00,949.494323730468,6.79710102081298,927.207512307014,4.9617691040039,22.2868,0.263748
2018-01-05 00:50:00,994.749572753906,6.6828122138977,879.377522642319,2.56614089012145,115.3721,0.276319
2018-01-05 01:00:00,933.423217773437,6.72106218338012,895.215030395601,7.87672519683837,38.2082,0.259284
2018-01-05 01:10:00,1049.43298339843,7.13179683685302,1076.43932716047,14.1033201217651,-27.0063,0.291509
2018-01-05 01:20:00,671.72412109375,6.14859819412231,675.275248367427,20.3353900909423,-3.5511,0.18659
2018-01-05 01:30:00,966.831176757812,6.89609909057617,969.893966574517,21.0418395996093,-3.0628,0.268564
2018-01-05 01:40:00,982.259094238281,6.92629480361938,983.151525234918,22.9359607696533,-0.8924,0.27285
